1, Arab Open University, Oman
148, Dhofar University, Oman
149, Ibra College of Technology, Oman
150, Majan University College, Oman
151, Muscat College, Oman
152, Oman College Of Management & Technology, Oman
153, Sohar University, Oman
154, Sultan Qaboos University, Oman
155, Sur University College, Oman
156, University of Nizwa, Oman
157, Cégep de Saint-Jérôme, Canada
158, Lambton College, Canada
159, Acadia University, Canada
160, Algonquin College, Canada
161, Ashton College, Canada
162, Assumption University, Canada
163, Athabasca University, Canada
164, Augustana University College, Canada
165, British Columbia Institute of Technology, Canada
166, British Columbia Open University, Canada
167, William and Catherine Booth College, Canada
168, Collège Boréal, Canada
169, Bow Valley College, Canada
170, Brandon University, Canada
171, Brock University, Canada
172, DeVry Institute of Technology, Canada
173, Camosun College, Canada
174, Capilano College, Canada
175, University College of the Cariboo, Canada
176, Carleton University, Canada
177, Canadian College of Business & Computers, Canada
178, Centennial College, Canada
179, Canadian Mennonite University, Canada
180, College of New Caledonia, Canada
181, Columbia College, Canada
182, Concordia University College of Alberta, Canada
183, Concordia University, Canada
184, Conestoga College, Canada
185, College of the Rockies, Canada
186, University of Moncton, Shippagan, Canada
187, University of Moncton, Edmundston, Canada
188, Dalhousie University, Canada
189, Douglas College, Canada
190, Durham College, Canada
191, Emily Carr Institute of Art + Design, Canada
192, rkwwdoundoh, Canada
193, helo f, Canada
194, First Nations University of Canada, Canada
195, George Brown College, Canada
196,  des Hautes  Commerciales, Canada
197, Humber College, Canada
198, Huron University College, Canada
199, Institut Armand-Frappier, Universit du Qubec, Canada
200, Institut National de la Recherche Scientifique, Universit du Qubec, Canada
201, Kingston College, Canada
202, Arab Open University, Oman
203, Al-Buraimi University College, Oman
204, Dhofar University, Oman
205, Ibra College of Technology, Oman
206, Majan University College, Oman
207, Muscat College, Oman
208, Oman College Of Management & Technology, Oman
209, Sohar University, Oman
210, Sultan Qaboos University, Oman
211, Sur University College, Oman
212, University of Nizwa, Oman
213, Arab Open University, Oman
214, Al-Buraimi University College, Oman
215, Dhofar University, Oman
216, Ibra College of Technology, Oman
217, Majan University College, Oman
218, Muscat College, Oman
219, Oman College Of Management & Technology, Oman
220, Sohar University, Oman
221, Sultan Qaboos University, Oman
222, Sur University College, Oman
223, University of Nizwa, Oman
224, Cégep de Saint-Jérôme, Canada
225, Lambton College, Canada
226, Acadia University, Canada
227, Algonquin College, Canada
228, Ashton College, Canada
229, Assumption University, Canada
230, Athabasca University, Canada
231, Augustana University College, Canada
232, British Columbia Institute of Technology, Canada
233, British Columbia Open University, Canada
234, William and Catherine Booth College, Canada
235, Collège Boréal, Canada
236, Bow Valley College, Canada
237, Brandon University, Canada
238, Brock University, Canada
239, DeVry Institute of Technology, Canada
240, Camosun College, Canada
241, Capilano College, Canada
242, University College of the Cariboo, Canada
243, Carleton University, Canada
244, Canadian College of Business & Computers, Canada
245, Centennial College, Canada
246, Canadian Mennonite University, Canada
247, College of New Caledonia, Canada
248, Columbia College, Canada
249, Concordia University College of Alberta, Canada
250, Concordia University, Canada
251, Conestoga College, Canada
252, College of the Rockies, Canada
253, University of Moncton, Shippagan, Canada
254, University of Moncton, Edmundston, Canada
255, Dalhousie University, Canada
256, Douglas College, Canada
257, Durham College, Canada
258, Emily Carr Institute of Art + Design, Canada
259, rkwwdoundoh, Canada
260, helo f, Canada
261, First Nations University of Canada, Canada
262, George Brown College, Canada
263,  des Hautes  Commerciales, Canada
264, Humber College, Canada
265, Huron University College, Canada
266, Institut Armand-Frappier, Universit du Qubec, Canada
267, Institut National de la Recherche Scientifique, Universit du Qubec, Canada
268, Kingston College, Canada
269, University of Petroleum and Energy Studies, India
270, DAV Institute of Engineering & Technology, India
271, Lovely Professional University, India
272, Somaiya Vidyavihar, India
273, NorthCap University, India
274, Dharamsinh Desai University, India
275, University of Health Sciences Andhra Pradesh, India
276, Allahabad Agricultural Institute, Deemed University, India
277, Assam Agricultural University, India
278, Ahmedabad University, India
279, All India Institute of Medical Sciences, India
280, AISECT University, India
281, Alagappa University, India
282, Allahabad University, India
283, Open International University for Alternative Medicines, India
284, Indian Board of Alternative Medicine, India
285, Amity University, India
286, Amrita Vishwa Vidyapeetham (Deemed University), India
287, Amravati University, India
288, Aligarh Muslim University, India
289, Andhra University, India
290, Acharya Ranga Agricultural University, India
291, Annamalai University, India
292, Anna University of Technology, Tirunelveli, India
293, Anna University, India
294, Awadhesh Pratap Singh University, India
295, ARYA Institute of Engineering & Technology, India
296, Assam University, India
297, Gujarat Ayurved University, India
298, Dr. Babasaheb Ambedkar Marathwada Universtiy, India
299, Berhampur University, India
300, Banasthali University, India
301, Bankura University, India
302, Birsa Agricultural University, India
303, Babasaheb Bhimrao Ambedkar University, India
304, Bidhan Chandra Agricultural University, India
305, Bharathidasan University, India
306, Bengal Engineering College, India
307, Bangalore University, India
308, Bhagwant University, India
309, Bharathiar University, India
310, Bharath Institue Of Higher Education & Research, India
311, Bharati Vidyapeeth University, India
312, Bhavnagar University, India
313, Banaras Hindu University, India
314, Orissa University of Agriculture and Technology, India
315, Birla Institute of Technology, Ranchi, India
316, Birla Institute of Technology and Science, India
317, Bhupendra Narayan Mandal University, India
318, Biju Pattnaik University of Technology, India
319, B. R. Ambedkar Bihar University, India
320, Dr. B.R. Ambedkar Open University, India
321, Dr. B. R. Ambedkar National Institute of Technology Jalandhar, India
322, Dr. Bhim Rao Abdekar University, India
323, B. S. Abdur Rahman University, India
324, Barkatullah University, India
325, VIT Bhopal, India
326, Bundelkhand University, India
327, University of Burdwan, India
328, University of Calcutta, India
329, Central Agricultural University, India
330, Chaudhary Charan Singh University, India
331, Ch. Charan Singh University, India
332, Center for Entrepreneurship and Small Business Management, India
333, Christ University, India
334, Central Institute of English and Foreign Languages, India
335, Central Institute of Fisheries Education, India
336, Central Institute of Higher Tibetan Studies, India
337, CMJ University, India
338, Chandra Shekhar Azad University of Agriculture and Technology, India
339, Cochin University of Science and Technology, India
340, Dr. C.V. Raman University, India
341, Dhirubhai Ambani Institute of Information and Communication Technology, India
342, Darul Huda Islamic University, India
343, Dav University, India
344, Devi Ahilya University of Indore, India
345, Dr. Babasaheb Ambedkar Technological University, India
346, Konkan Agricultural University, India
347, Tamil Nadu Agricultural University, India
348, Delhi College of Engineering (DCE), India
349, Deen Dayal Upadhyay Gorakhpur University, India
350, Deccan College Postgraduate and Research Institute, India
351, Dayalbagh Educational Institute, India
352, Dibrugarh University, India
353, Dravidian University, India
354, University of Delhi, India
355, Dr. D.Y. Patil University, India
356, Eiilm University, India
357, Fatima mata national college kollam kerala, India
358, Forest Research Institute Dehradun, India
359, Govind Ballabh Pant University of Agriculture and Technology, India
360, Guru Ghasidas University, India
361, Gokhale Institute of Politics and Economics, India
362, Gandhi Institute of Technology and Managment, India
363, Guru Jambeshwar University, India
364, Gurukula Kangri University, India
365, Guru Nanak Dev University, India
366, Global Open University , Nagaland, India
367, Gujarat Technological University Ahmedabad, India
368, Gujarat University Ahmedabad, India
369, Gulbarga University, India
370, Gauhati University, India
371, Gurukul University, India
372, CCS Haryana Agricultural University, India
373, Chaudhary Charan Singh Haryana Agricultural University, India
374, Himachal Pradesh Agricultural University, India
375, Hemwati Nandan Bahuguna Garhwal University, India
376, Hidayatullah National Law University, Raipur, India
377, Sri Ramachardra Medical College and Research Institute, India
378, Himachal Pradesh University, India
379, Indian Agricultural Research Institute, India
380, IASE (Institute of Advanced Studies) Deemed University, India
381, ICFAI University, India
382, ICFAI University, Dehradun, India
383, ICFAI University, Tripura, India
384, ICFAI University, Sikkim, India
385, ICFAI University, Mizoram, India
386, ICFAI University, Meghalaya, India
387, ICFAI University, Jharkhand, India
388, ICFAI University, Nagaland, India
389, ICFAI University, Jaipur, India
390, ICFAI University, Raipur, India
391, ICFAI University, Himachal Pradesh, India
392, ICFAI University, Hyderabad, India
393, Indira Gandhi Agricultural University, India
394, Indira Gandhi Institute of Development and Research, India
395, Indira Gandhi Institute of Medical Sciences, India
396, Indira Gandhi National Open University, India
397, Indian Institute of Information Technology, India
398, Indian Institute of Information Technology and Management - Kerala, India
399, Indian Institute of Information Technology and Management - Gwalior, India
400, Indraprastha Institute of Information Technology, Delhi, India
401, International Institute of Information Technology, Pune, India
402, International Institute of Information Technology, Bhubaneswar, India
403, International Institute of Information Technology, Bangalore, India
404, Indian Institute of Management, Tiruchirappalli, India
405, Indian Institute of Information Technology, Guwahati, India
406, Indian Institute of Information Technology, Vadodara, India
407, Indian Institute of Information Technology, Kota, India
408, International Institute for Population Sciences, India
409, Indian Institute of Science, India
410, Indian Institute of Technology, Bombay, India
411, Indian Institute of Technology, Delhi, India
412, Indian Institute of Technology, Gandhinagar, India
413, Indian Institute of Technology, Guwahati, India
414, Indian Institute of Technology, Hyderabad, India
415, Indian Institute of Technology, Kanpur, India
416, Indian Institute of Technology, Kharagpur, India
417, Indian Institute of Technology, Madras, India
418, Madras Institute of Technology, India
419, Indian Institute of Technology, Roorkee, India
420, Indian Institute of Technology, Patna, India
421, Indian Institute of Technology, Indore, India
422, Indian Institute of Technology, Jodhpur, India
423, University of Music and Fine Arts, India
424, Indian Law Institue, India
425, Indus University, India
426, Integral University, India
427, Guru Gobind Singh Indraprastha University, India
428, Indian School of Business Management and Administration, India
429, Indian Statistical Institute, India
430, Indian School of Mines (ISM), India
431, Institute of Technology and Management, India
432, Indian University, India
433, Indian Veterinary Research Institute, India
434, Jadavpur University, India
435, First Global University to teaching Jainism, India
436, Jamia Hamdard University, India
437, University of Jammu, India
438, Jaypee Institute of Information Technology, India
439, Jiwaji University, India
440, Jamia Millia Islamia University, India
441, Jawaharlal Nehru Centre for Advanced  Scientific Research, India
442, Jawaharlal Nehru Agricultural University, India
443, Jawaharlal Nehru Technological University, India
444, Jawaharlal Nehru University, India
445, Jaipur National University, India
446, Jodhpur National University, India
447, Jai Prakash University, India
448, Rajasthan Vidyapeeth University, India
449, Jain Vishva Bharati Institute, India
450, Kalinga University, India
451, Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya, India
452, Kannada University, India
453, Kannur University, India
454, Chhatrapati Shahu Ji Maharaj University, India
455, Kanpur University, India
456, Karnataka State Open University, India
457, Karpagam University, India
458, Karunya Institute Of Technology ( Deemed University), India
459, University of Kashmir, India
460, Kerala Agricultural University, India
461, University of Kerala, India
462, Kohinoor School of Hospitality Management, India
463, University of Kalyani, India
464, Krishna University, India
465, Kameshwar Singh Darbhanga Sanskrit University, India
466, Karnataka State Law University, India
467, Karnatak University, India
468, Kerala University of Fisheries and Ocean Sciences, India
469, Kurukshetra University, India
470, Kumaraguru College of Technology, India
471, Kumaun University, India
472, Kuvempu University, India
473, Kakatiya University, India
474, L.D.College of Engineering, India
475, Lakshmibai National Institute of Physical Education, India
476, Lalit Narayan Mithila University, India
477, University of Lucknow, India
478, Mar Athanasios College for Advanced Studies, India
479, Magadh University, India
480, Mangalore University, India
481, Manipal University, India
482, Manipur University, India
483, Moulana Azad national Urdu University, India
484, Makanlal Chutur Vedi University, India
485, Makhanlal Chaturvedi National University of Journalism and Communication, India
486, Maharshi Dayanand Sarswati University Ajmer, India
487, Maharishi Dayanand University, Rohtak (Haryana ), India
488, Mahatma Gandhi Kashi Vidyapith, India
489, Maharaja Ganga Singh University, Bikaner, India
490, Mahatma Gandhi University, Kerala, India
491, Mahatma Jyotiba Phule Rohilkhand University Bareilly, India
492, Madurai Kamaraj University, India
493, Marathwada Agricultural University, India
494, Mohan Lal Sukhadia University, India
495, Motilal Nehru National Institute Of Technology, India
496, Madhya Pradesh Bhoj (Open) University, India
497, Mahatma Phule Agricultural University, India
498, Maharaja Sayajirao University of Baroda, India
499, University of Mumbai, India
500, Acharya Nagarjuna University, India
501, Nagaland University, India
502, Nagpur University, India
503, Nalanda Open University, India
504, National Museum Institute of History of Art, Conservation and Museology, India
505, University of North Bengal, India
506, National Dairy Research Institute, India
507, Narendra Deva University of Agriculture and Technology, India
508, North Eastern Hill University, India
509, Hemchandracharay North Gujarat University, India
510, National Institute of Mental Health and Neuro Sciences, India
511, University of Petroleum and Energy Studies, India
512, DAV Institute of Engineering & Technology, India
513, Lovely Professional University, India
514, Somaiya Vidyavihar, India
515, NorthCap University, India
516, Dharamsinh Desai University, India
517, University of Health Sciences Andhra Pradesh, India
518, Allahabad Agricultural Institute, Deemed University, India
519, Assam Agricultural University, India
520, Ahmedabad University, India
521, All India Institute of Medical Sciences, India
522, AISECT University, India
523, Alagappa University, India
524, Allahabad University, India
525, Open International University for Alternative Medicines, India
526, Indian Board of Alternative Medicine, India
527, Amity University, India
528, Amrita Vishwa Vidyapeetham (Deemed University), India
529, Amravati University, India
530, Aligarh Muslim University, India
531, Andhra University, India
532, Acharya Ranga Agricultural University, India
533, Annamalai University, India
534, Anna University of Technology, Tirunelveli, India
535, Anna University, India
536, Awadhesh Pratap Singh University, India
537, ARYA Institute of Engineering & Technology, India
538, Assam University, India
539, Gujarat Ayurved University, India
540, Dr. Babasaheb Ambedkar Marathwada Universtiy, India
541, Berhampur University, India
542, Banasthali University, India
543, Bankura University, India
544, Birsa Agricultural University, India
545, Babasaheb Bhimrao Ambedkar University, India
546, Bidhan Chandra Agricultural University, India
547, Bharathidasan University, India
548, Bengal Engineering College, India
549, Bangalore University, India
550, Bhagwant University, India
551, Bharathiar University, India
552, Bharath Institue Of Higher Education & Research, India
553, Bharati Vidyapeeth University, India
554, Bhavnagar University, India
555, Banaras Hindu University, India
556, Orissa University of Agriculture and Technology, India
557, Birla Institute of Technology, Ranchi, India
558, Birla Institute of Technology and Science, India
559, Bhupendra Narayan Mandal University, India
560, Biju Pattnaik University of Technology, India
561, B. R. Ambedkar Bihar University, India
562, Dr. B.R. Ambedkar Open University, India
563, Dr. B. R. Ambedkar National Institute of Technology Jalandhar, India
564, Dr. Bhim Rao Abdekar University, India
565, B. S. Abdur Rahman University, India
566, Barkatullah University, India
567, VIT Bhopal, India
568, Bundelkhand University, India
569, University of Burdwan, India
570, University of Calcutta, India
571, Central Agricultural University, India
572, Chaudhary Charan Singh University, India
573, Ch. Charan Singh University, India
574, Center for Entrepreneurship and Small Business Management, India
575, Christ University, India
576, Central Institute of English and Foreign Languages, India
577, Central Institute of Fisheries Education, India
578, Central Institute of Higher Tibetan Studies, India
579, CMJ University, India
580, Chandra Shekhar Azad University of Agriculture and Technology, India
581, Cochin University of Science and Technology, India
582, Dr. C.V. Raman University, India
583, Dhirubhai Ambani Institute of Information and Communication Technology, India
584, Darul Huda Islamic University, India
585, Dav University, India
586, Devi Ahilya University of Indore, India
587, Dr. Babasaheb Ambedkar Technological University, India
588, Konkan Agricultural University, India
589, Tamil Nadu Agricultural University, India
590, Delhi College of Engineering (DCE), India
591, Deen Dayal Upadhyay Gorakhpur University, India
592, Deccan College Postgraduate and Research Institute, India
593, Dayalbagh Educational Institute, India
594, Dibrugarh University, India
595, Dravidian University, India
596, University of Delhi, India
597, Dr. D.Y. Patil University, India
598, Eiilm University, India
599, Fatima mata national college kollam kerala, India
600, Forest Research Institute Dehradun, India
601, Govind Ballabh Pant University of Agriculture and Technology, India
602, Guru Ghasidas University, India
603, Gokhale Institute of Politics and Economics, India
604, Gandhi Institute of Technology and Managment, India
605, Guru Jambeshwar University, India
606, Gurukula Kangri University, India
607, Guru Nanak Dev University, India
608, Global Open University , Nagaland, India
609, Gujarat Technological University Ahmedabad, India
610, Gujarat University Ahmedabad, India
611, Gulbarga University, India
612, Gauhati University, India
613, Gurukul University, India
614, CCS Haryana Agricultural University, India
615, Chaudhary Charan Singh Haryana Agricultural University, India
616, Himachal Pradesh Agricultural University, India
617, Hemwati Nandan Bahuguna Garhwal University, India
618, Hidayatullah National Law University, Raipur, India
619, Sri Ramachardra Medical College and Research Institute, India
620, Himachal Pradesh University, India
621, Indian Agricultural Research Institute, India
622, IASE (Institute of Advanced Studies) Deemed University, India
623, ICFAI University, India
624, ICFAI University, Dehradun, India
625, ICFAI University, Tripura, India
626, ICFAI University, Sikkim, India
627, ICFAI University, Mizoram, India
628, ICFAI University, Meghalaya, India
629, ICFAI University, Jharkhand, India
630, ICFAI University, Nagaland, India
631, ICFAI University, Jaipur, India
632, ICFAI University, Raipur, India
633, ICFAI University, Himachal Pradesh, India
634, ICFAI University, Hyderabad, India
635, Indira Gandhi Agricultural University, India
636, Indira Gandhi Institute of Development and Research, India
637, Indira Gandhi Institute of Medical Sciences, India
638, Indira Gandhi National Open University, India
639, Indian Institute of Information Technology, India
640, Indian Institute of Information Technology and Management - Kerala, India
641, Indian Institute of Information Technology and Management - Gwalior, India
642, Indraprastha Institute of Information Technology, Delhi, India
643, International Institute of Information Technology, Pune, India
644, International Institute of Information Technology, Bhubaneswar, India
645, International Institute of Information Technology, Bangalore, India
646, Indian Institute of Management, Tiruchirappalli, India
647, Indian Institute of Information Technology, Guwahati, India
648, Indian Institute of Information Technology, Vadodara, India
649, Indian Institute of Information Technology, Kota, India
650, International Institute for Population Sciences, India
651, Indian Institute of Science, India
652, Indian Institute of Technology, Bombay, India
653, Indian Institute of Technology, Delhi, India
654, Indian Institute of Technology, Gandhinagar, India
655, Indian Institute of Technology, Guwahati, India
656, Indian Institute of Technology, Hyderabad, India
657, Indian Institute of Technology, Kanpur, India
658, Indian Institute of Technology, Kharagpur, India
659, Indian Institute of Technology, Madras, India
660, Madras Institute of Technology, India
661, Indian Institute of Technology, Roorkee, India
662, Indian Institute of Technology, Patna, India
663, Indian Institute of Technology, Indore, India
664, Indian Institute of Technology, Jodhpur, India
665, University of Music and Fine Arts, India
666, Indian Law Institue, India
667, Indus University, India
668, Integral University, India
669, Guru Gobind Singh Indraprastha University, India
670, Indian School of Business Management and Administration, India
671, Indian Statistical Institute, India
672, Indian School of Mines (ISM), India
673, Institute of Technology and Management, India
674, Indian University, India
675, Indian Veterinary Research Institute, India
676, Jadavpur University, India
677, First Global University to teaching Jainism, India
678, Jamia Hamdard University, India
679, University of Jammu, India
680, Jaypee Institute of Information Technology, India
681, Jiwaji University, India
682, Jamia Millia Islamia University, India
683, Jawaharlal Nehru Centre for Advanced  Scientific Research, India
684, Jawaharlal Nehru Agricultural University, India
685, Jawaharlal Nehru Technological University, India
686, Jawaharlal Nehru University, India
687, Jaipur National University, India
688, Jodhpur National University, India
689, Jai Prakash University, India
690, Rajasthan Vidyapeeth University, India
691, Jain Vishva Bharati Institute, India
692, Kalinga University, India
693, Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya, India
694, Kannada University, India
695, Kannur University, India
696, Chhatrapati Shahu Ji Maharaj University, India
697, Kanpur University, India
698, Karnataka State Open University, India
699, Karpagam University, India
700, Karunya Institute Of Technology ( Deemed University), India
701, University of Kashmir, India
702, Kerala Agricultural University, India
703, University of Kerala, India
704, Kohinoor School of Hospitality Management, India
705, University of Kalyani, India
706, Krishna University, India
707, Kameshwar Singh Darbhanga Sanskrit University, India
708, Karnataka State Law University, India
709, Karnatak University, India
710, Kerala University of Fisheries and Ocean Sciences, India
711, Kurukshetra University, India
712, Kumaraguru College of Technology, India
713, Kumaun University, India
714, Kuvempu University, India
715, Kakatiya University, India
716, L.D.College of Engineering, India
717, Lakshmibai National Institute of Physical Education, India
718, Lalit Narayan Mithila University, India
719, University of Lucknow, India
720, Mar Athanasios College for Advanced Studies, India
721, Magadh University, India
722, Mangalore University, India
723, Manipal University, India
724, Manipur University, India
725, Moulana Azad national Urdu University, India
726, Makanlal Chutur Vedi University, India
727, Makhanlal Chaturvedi National University of Journalism and Communication, India
728, Maharshi Dayanand Sarswati University Ajmer, India
729, Maharishi Dayanand University, Rohtak (Haryana ), India
730, Mahatma Gandhi Kashi Vidyapith, India
731, Maharaja Ganga Singh University, Bikaner, India
732, Mahatma Gandhi University, Kerala, India
733, Mahatma Jyotiba Phule Rohilkhand University Bareilly, India
734, Madurai Kamaraj University, India
735, Marathwada Agricultural University, India
736, Mohan Lal Sukhadia University, India
737, Motilal Nehru National Institute Of Technology, India
738, Madhya Pradesh Bhoj (Open) University, India
739, Mahatma Phule Agricultural University, India
740, Maharaja Sayajirao University of Baroda, India
741, University of Mumbai, India
742, Acharya Nagarjuna University, India
743, Nagaland University, India
744, Nagpur University, India
745, Nalanda Open University, India
746, National Museum Institute of History of Art, Conservation and Museology, India
747, University of North Bengal, India
748, National Dairy Research Institute, India
749, Narendra Deva University of Agriculture and Technology, India
750, North Eastern Hill University, India
751, Hemchandracharay North Gujarat University, India
752, National Institute of Mental Health and Neuro Sciences, India
753, University of Petroleum and Energy Studies, India
754, DAV Institute of Engineering & Technology, India
755, Lovely Professional University, India
756, Somaiya Vidyavihar, India
757, NorthCap University, India
758, Dharamsinh Desai University, India
759, University of Health Sciences Andhra Pradesh, India
760, Allahabad Agricultural Institute, Deemed University, India
761, Assam Agricultural University, India
762, Ahmedabad University, India
763, All India Institute of Medical Sciences, India
764, AISECT University, India
765, Alagappa University, India
766, Allahabad University, India
767, Open International University for Alternative Medicines, India
768, Indian Board of Alternative Medicine, India
769, Amity University, India
770, Amrita Vishwa Vidyapeetham (Deemed University), India
771, Amravati University, India
772, Aligarh Muslim University, India
773, Andhra University, India
774, Acharya Ranga Agricultural University, India
775, Annamalai University, India
776, Anna University of Technology, Tirunelveli, India
777, Anna University, India
778, Awadhesh Pratap Singh University, India
779, ARYA Institute of Engineering & Technology, India
780, Assam University, India
781, Gujarat Ayurved University, India
782, Dr. Babasaheb Ambedkar Marathwada Universtiy, India
783, Berhampur University, India
784, Banasthali University, India
785, Bankura University, India
786, Birsa Agricultural University, India
787, Babasaheb Bhimrao Ambedkar University, India
788, Bidhan Chandra Agricultural University, India
789, Bharathidasan University, India
790, Bengal Engineering College, India
791, Bangalore University, India
792, Bhagwant University, India
793, Bharathiar University, India
794, Bharath Institue Of Higher Education & Research, India
795, Bharati Vidyapeeth University, India
796, Bhavnagar University, India
797, Banaras Hindu University, India
798, Orissa University of Agriculture and Technology, India
799, Birla Institute of Technology, Ranchi, India
800, Birla Institute of Technology and Science, India
801, Bhupendra Narayan Mandal University, India
802, Biju Pattnaik University of Technology, India
803, B. R. Ambedkar Bihar University, India
804, Dr. B.R. Ambedkar Open University, India
805, Dr. B. R. Ambedkar National Institute of Technology Jalandhar, India
806, Dr. Bhim Rao Abdekar University, India
807, B. S. Abdur Rahman University, India
808, Barkatullah University, India
809, VIT Bhopal, India
810, Bundelkhand University, India
811, University of Burdwan, India
812, University of Calcutta, India
813, Central Agricultural University, India
814, Chaudhary Charan Singh University, India
815, Ch. Charan Singh University, India
816, Center for Entrepreneurship and Small Business Management, India
817, Christ University, India
818, Central Institute of English and Foreign Languages, India
819, Central Institute of Fisheries Education, India
820, Central Institute of Higher Tibetan Studies, India
821, CMJ University, India
822, Chandra Shekhar Azad University of Agriculture and Technology, India
823, Cochin University of Science and Technology, India
824, Dr. C.V. Raman University, India
825, Dhirubhai Ambani Institute of Information and Communication Technology, India
826, Darul Huda Islamic University, India
827, Dav University, India
828, Devi Ahilya University of Indore, India
829, Dr. Babasaheb Ambedkar Technological University, India
830, Konkan Agricultural University, India
831, Tamil Nadu Agricultural University, India
832, Delhi College of Engineering (DCE), India
833, Deen Dayal Upadhyay Gorakhpur University, India
834, Deccan College Postgraduate and Research Institute, India
835, Dayalbagh Educational Institute, India
836, Dibrugarh University, India
837, Dravidian University, India
838, University of Delhi, India
839, Dr. D.Y. Patil University, India
840, Eiilm University, India
841, Fatima mata national college kollam kerala, India
842, Forest Research Institute Dehradun, India
843, Govind Ballabh Pant University of Agriculture and Technology, India
